DATASET_TITLE,Population Density (UV02),,,,,,FROM,Apr-2001,Apr-2001,Apr-2001
AREA_TYPE,Local Authority,,,,,,TO,Apr-2001,Apr-2001,Apr-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All People,Area (Hectares),Density (Number of Persons per Hectare)
,,,,,,,MEASUREMENT_UNIT,Count,Hectares,Rate
,,,,,,,STATISTICAL_UNIT,Persons,Areas,Persons
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE
"J","South East","24","Hampshire","24UE","Fareham",,,107977,7424,14.54
"J","South East","24","Hampshire","24UF","Gosport",,,76415,2529,30.22
"J","South East","24","Hampshire","24UG","Hart",,,83505,21527,3.88
"J","South East","24","Hampshire","24UH","Havant",,,116849,5533,21.12
"J","South East","24","Hampshire","24UJ","New Forest",,,169331,75321,2.25
"J","South East","24","Hampshire","24UL","Rushmoor",,,90987,3904,23.3
"J","South East","24","Hampshire","24UN","Test Valley",,,109801,62758,1.75
"J","South East","24","Hampshire","24UP","Winchester",,,107222,66097,1.62
"J","South East","29","Kent","29UB","Ashford",,,102661,58062,1.77
"J","South East","29","Kent","29UC","Canterbury",,,135278,30884,4.38
"J","South East","29","Kent","29UD","Dartford",,,85911,7277,11.81
"J","South East","29","Kent","29UE","Dover",,,104566,31484,3.32
"J","South East","29","Kent","29UG","Gravesham",,,95717,9902,9.67
"J","South East","29","Kent","29UH","Maidstone",,,138948,39333,3.53
"J","South East","29","Kent","29UK","Sevenoaks",,,109305,36920,2.96
"J","South East","29","Kent","29UL","Shepway",,,96238,35670,2.7
"J","South East","29","Kent","29UM","Swale",,,122801,37340,3.29
"J","South East","29","Kent","29UN","Thanet",,,126702,10330,12.27
"J","South East","29","Kent","29UP","Tonbridge and Malling",,,107561,24013,4.48
"J","South East","29","Kent","29UQ","Tunbridge Wells",,,104030,33133,3.14
"J","South East","38","Oxfordshire","38UB","Cherwell",,,131785,58877,2.24
"J","South East","38","Oxfordshire","38UC","Oxford",,,134248,4560,29.44
"J","South East","38","Oxfordshire","38UD","South Oxfordshire",,,128188,67853,1.89
"J","South East","38","Oxfordshire","38UE","Vale of White Horse",,,115627,57762,2
"J","South East","38","Oxfordshire","38UF","West Oxfordshire",,,95640,71440,1.34
"J","South East","43","Surrey","43UB","Elmbridge",,,121936,9506,12.83
"J","South East","43","Surrey","43UC","Epsom and Ewell",,,67059,3407,19.68
"J","South East","43","Surrey","43UD","Guildford",,,129701,27093,4.79
"J","South East","43","Surrey","43UE","Mole Valley",,,80287,25832,3.11
"J","South East","43","Surrey","43UF","Reigate and Banstead",,,126523,12913,9.8
"J","South East","43","Surrey","43UG","Runnymede",,,78033,7804,10
"J","South East","43","Surrey","43UH","Spelthorne",,,90390,4488,20.14
"J","South East","43","Surrey","43UJ","Surrey Heath",,,80314,9509,8.45
"J","South East","43","Surrey","43UK","Tandridge",,,79267,24819,3.19
"J","South East","43","Surrey","43UL","Waverley",,,115665,34517,3.35
"J","South East","43","Surrey","43UM","Woking",,,89840,6360,14.13
"J","South East","45","West Sussex","45UB","Adur",,,59627,4180,14.26
"J","South East","45","West Sussex","45UC","Arun",,,140759,22101,6.37
"J","South East","45","West Sussex","45UD","Chichester",,,106450,78632,1.35
"J","South East","45","West Sussex","45UE","Crawley",,,99744,4497,22.18
"J","South East","45","West Sussex","45UF","Horsham",,,122088,53026,2.3
"J","South East","45","West Sussex","45UG","Mid Sussex",,,127378,33402,3.81
"J","South East","45","West Sussex","45UH","Worthing",,,97568,3248,30.04
"K","South West",,,"00HA","Bath and North East Somerset",,,169040,34568,4.89
"K","South West",,,"00HB","Bristol, City of",,,380615,10946,34.77
"K","South West",,,"00HC","North Somerset",,,188564,37379,5.04
"K","South West",,,"00HD","South Gloucestershire",,,245641,49695,4.94
"K","South West",,,"00HG","Plymouth",,,240720,7978,30.17
"K","South West",,,"00HH","Torbay",,,129706,6288,20.63
"K","South West",,,"00HN","Bournemouth",,,163444,4618,35.39
"K","South West",,,"00HP","Poole",,,138288,6488,21.31
"K","South West",,,"00HX","Swindon",,,180051,23010,7.82
"K","South West","15","Cornwall and Isles of Scilly","15UB","Caradon",,,79649,66086,1.21
"K","South West","15","Cornwall and Isles of Scilly","15UC","Carrick",,,87865,46100,1.91
"K","South West","15","Cornwall and Isles of Scilly","15UD","Kerrier",,,92517,47352,1.95
"K","South West","15","Cornwall and Isles of Scilly","15UE","North Cornwall",,,80509,119517,.67
"K","South West","15","Cornwall and Isles of Scilly","15UF","Penwith",,,63012,30356,2.08
"K","South West","15","Cornwall and Isles of Scilly","15UG","Restormel",,,95562,45183,2.11
"K","South West","15","Cornwall and Isles of Scilly","15UH","Isles of Scilly",,,2153,1633,1.32
"K","South West","18","Devon","18UB","East Devon",,,125520,81440,1.54
"K","South West","18","Devon","18UC","Exeter",,,111076,4703,23.62
"K","South West","18","Devon","18UD","Mid Devon",,,69774,91293,.76
"K","South West","18","Devon","18UE","North Devon",,,87508,108590,.81
"K","South West","18","Devon","18UG","South Hams",,,81849,88651,.92
"K","South West","18","Devon","18UH","Teignbridge",,,120958,67387,1.79
"K","South West","18","Devon","18UK","Torridge",,,58965,98384,.6
"K","South West","18","Devon","18UL","West Devon",,,48843,115964,.42
"K","South West","19","Dorset","19UC","Christchurch",,,44865,5038,8.91
"K","South West","19","Dorset","19UD","East Dorset",,,83786,35437,2.36
"K","South West","19","Dorset","19UE","North Dorset",,,61905,60922,1.02
"K","South West","19","Dorset","19UG","Purbeck",,,44416,40440,1.1
"K","South West","19","Dorset","19UH","West Dorset",,,92360,108148,.85
"K","South West","19","Dorset","19UJ","Weymouth and Portland",,,63648,4175,15.24
"K","South West","23","Gloucestershire","23UB","Cheltenham",,,110013,4661,23.6
"K","South West","23","Gloucestershire","23UC","Cotswold",,,80376,116452,.69
"K","South West","23","Gloucestershire","23UD","Forest of Dean",,,79982,52643,1.52
"K","South West","23","Gloucestershire","23UE","Gloucester",,,109885,4054,27.11
"K","South West","23","Gloucestershire","23UF","Stroud",,,107898,46065,2.34
"K","South West","23","Gloucestershire","23UG","Tewkesbury",,,76405,41442,1.84
"K","South West","40","Somerset","40UB","Mendip",,,103869,73943,1.4
"K","South West","40","Somerset","40UC","Sedgemoor",,,105881,56436,1.88
"K","South West","40","Somerset","40UD","South Somerset",,,150969,95904,1.57
"K","South West","40","Somerset","40UE","Taunton Deane",,,102299,46236,2.21
"K","South West","40","Somerset","40UF","West Somerset",,,35075,72535,.48
"K","South West","46","Wiltshire","46UB","Kennet",,,74838,96662,.77
"K","South West","46","Wiltshire","46UC","North Wiltshire",,,125372,76768,1.63
"K","South West","46","Wiltshire","46UD","Salisbury",,,114613,100413,1.14
"K","South West","46","Wiltshire","46UF","West Wiltshire",,,118150,51692,2.29
,,,,"00NA","Isle of Anglesey",,,66829,71103,.94
,,,,"00NC","Gwynedd",,,116843,253500,.46
,,,,"00NE","Conwy",,,109596,112573,.97
,,,,"00NG","Denbighshire",,,93065,83664,1.11
,,,,"00NJ","Flintshire",,,148594,43780,3.39
,,,,"00NL","Wrexham",,,128476,50377,2.55
,,,,"00NN","Powys",,,126354,518097,.24
,,,,"00NQ","Ceredigion",,,74941,179426,.42
,,,,"00NS","Pembrokeshire",,,114131,161848,.71
,,,,"00NU","Carmarthenshire",,,172842,237074,.73
,,,,"00NX","Swansea",,,223301,37804,5.91
