DATASET_TITLE,Number of People Living in Households (UV51),,,,,,FROM,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
AREA_TYPE,Local Authority,,,,,,TO,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Occupied Household Spaces,1 person living in Household,2 people living in Household,3 people living in Household,4 people living in Household,5 people living in Household,6 people living in Household,7 people living in Household,8 or more people living in Household
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Households,Households,Households,Households,Households,Households,Households,Households,Households
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"F","West Midlands",,,"00CS","Sandwell",,,115426,35066,36179,18682,15706,6354,2270,650,519
"F","West Midlands",,,"00CT","Solihull",,,80930,21261,28334,12882,12743,4110,1272,229,99
"F","West Midlands",,,"00CU","Walsall",,,101333,27663,33642,17017,14464,5538,2022,552,435
"F","West Midlands",,,"00CW","Wolverhampton",,,97122,30837,30112,15319,12470,5659,1810,577,338
"F","West Midlands",,,"00GA","Herefordshire, County of",,,74282,21271,27794,11292,9363,3384,910,182,86
"F","West Midlands",,,"00GF","Telford and Wrekin",,,63768,16551,21970,11607,9129,3214,932,240,125
"F","West Midlands",,,"00GL","Stoke-on-Trent",,,103196,32512,34521,17789,12489,4117,1197,324,247
"F","West Midlands","39","Shropshire","39UB","Bridgnorth",,,20925,5250,8001,3542,2944,923,197,48,20
"F","West Midlands","39","Shropshire","39UC","North Shropshire",,,23149,5952,8851,3679,3197,1120,266,53,31
"F","West Midlands","39","Shropshire","39UD","Oswestry",,,15657,4699,5512,2486,2056,663,187,40,14
"F","West Midlands","39","Shropshire","39UE","Shrewsbury and Atcham",,,40308,11920,14615,6018,5310,1833,478,98,36
"F","West Midlands","39","Shropshire","39UF","South Shropshire",,,17262,4757,6952,2425,2148,725,192,46,17
"F","West Midlands","41","Staffordshire","41UB","Cannock Chase",,,37102,9149,12926,6834,5812,1731,526,87,37
"F","West Midlands","41","Staffordshire","41UC","East Staffordshire",,,42717,11824,15163,7008,5689,2026,733,160,114
"F","West Midlands","41","Staffordshire","41UD","Lichfield",,,37500,8911,14230,6354,5639,1740,498,91,37
"F","West Midlands","41","Staffordshire","41UE","Newcastle-under-Lyme",,,50738,14461,18175,8607,6833,2017,506,93,46
"F","West Midlands","41","Staffordshire","41UF","South Staffordshire",,,41973,9503,15566,7502,6871,1881,525,92,33
"F","West Midlands","41","Staffordshire","41UG","Stafford",,,50025,13037,19122,8296,6881,2046,487,102,54
"F","West Midlands","41","Staffordshire","41UH","Staffordshire Moorlands",,,38799,9655,14554,6811,5563,1615,494,78,29
"F","West Midlands","41","Staffordshire","41UK","Tamworth",,,29380,6828,10160,5518,4689,1547,513,94,31
"F","West Midlands","44","Warwickshire","44UB","North Warwickshire",,,25174,6275,9133,4322,3758,1304,308,56,18
"F","West Midlands","44","Warwickshire","44UC","Nuneaton and Bedworth",,,48683,12968,16808,8309,7229,2511,691,114,53
"F","West Midlands","44","Warwickshire","44UD","Rugby",,,36483,10237,13261,5854,4878,1668,476,77,32
"F","West Midlands","44","Warwickshire","44UE","Stratford-on-Avon",,,47202,12816,18406,6976,6313,2042,513,89,47
"F","West Midlands","44","Warwickshire","44UF","Warwick",,,53356,16402,18809,7719,6957,2486,708,137,138
"F","West Midlands","47","Worcestershire","47UB","Bromsgrove",,,35168,8562,13103,5770,5605,1692,357,66,13
"F","West Midlands","47","Worcestershire","47UC","Malvern Hills",,,30069,8350,11760,4363,3792,1364,346,64,30
"F","West Midlands","47","Worcestershire","47UD","Redditch",,,31652,8161,10816,5542,4768,1720,442,124,79
"F","West Midlands","47","Worcestershire","47UE","Worcester",,,39060,11358,13782,6140,5281,1811,465,138,85
"F","West Midlands","47","Worcestershire","47UF","Wychavon",,,46819,11871,18112,7483,6570,2193,469,92,29
"F","West Midlands","47","Worcestershire","47UG","Wyre Forest",,,40281,10844,14707,6811,5512,1800,457,107,43
"G","East of England",,,"00JA","Peterborough",,,65380,19652,22546,9990,8401,3325,949,299,218
"G","East of England",,,"00KA","Luton",,,70755,20371,21047,10773,9996,4972,2536,536,524
"G","East of England",,,"00KF","Southend-on-Sea",,,70978,25007,23539,9720,8370,3278,807,161,96
"G","East of England",,,"00KG","Thurrock",,,58485,16012,19526,9836,8829,3308,765,146,63
"G","East of England","09","Bedfordshire","09UC","Mid Bedfordshire",,,48600,12086,17786,7620,7877,2330,750,104,47
"G","East of England","09","Bedfordshire","09UD","Bedford",,,59597,16700,20614,8995,8424,3381,925,319,239
"G","East of England","09","Bedfordshire","09UE","South Bedfordshire",,,45665,11924,16108,7226,7098,2333,828,100,48
"G","East of England","12","Cambridgeshire","12UB","Cambridge",,,42658,15268,14054,5744,4806,2063,478,109,136
"G","East of England","12","Cambridgeshire","12UC","East Cambridgeshire",,,29780,7220,11679,4409,4477,1541,368,55,31
"G","East of England","12","Cambridgeshire","12UD","Fenland",,,35192,9629,13630,5213,4529,1664,407,85,35
"G","East of England","12","Cambridgeshire","12UE","Huntingdonshire",,,63062,15361,23403,9715,10346,3253,694,202,88
"G","East of England","12","Cambridgeshire","12UG","South Cambridgeshire",,,52181,12702,19622,8133,8117,2863,601,98,45
"G","East of England","22","Essex","22UB","Basildon",,,69207,19786,23790,11058,9939,3528,879,157,70
"G","East of England","22","Essex","22UC","Braintree",,,54332,14443,19630,8613,8059,2734,680,115,58
"G","East of England","22","Essex","22UD","Brentwood",,,28767,8171,10479,4299,4088,1375,281,58,16
"G","East of England","22","Essex","22UE","Castle Point",,,35279,9039,12751,5544,5507,1944,386,73,35
"G","East of England","22","Essex","22UF","Chelmsford",,,64564,17663,22831,9875,10020,3303,680,133,59
"G","East of England","22","Essex","22UG","Colchester",,,63706,18027,22836,9777,8872,3137,822,162,73
"G","East of England","22","Essex","22UH","Epping Forest",,,50590,14705,17382,7949,7159,2566,663,108,58
"G","East of England","22","Essex","22UJ","Harlow",,,33185,9799,11246,5495,4436,1648,440,91,30
"G","East of England","22","Essex","22UK","Maldon",,,24189,6103,8974,3696,3715,1323,297,50,31
"G","East of England","22","Essex","22UL","Rochford",,,31952,7941,11802,5036,5046,1707,326,71,23
"G","East of England","22","Essex","22UN","Tendring",,,61411,19999,23602,7413,6869,2584,698,159,87
"G","East of England","22","Essex","22UQ","Uttlesford",,,27519,6801,10154,4226,4379,1541,334,64,20
"G","East of England","26","Hertfordshire","26UB","Broxbourne",,,34933,8922,11805,5925,5663,2076,434,76,32
"G","East of England","26","Hertfordshire","26UC","Dacorum",,,55908,15128,19390,8902,8507,3038,749,125,69
"G","East of England","26","Hertfordshire","26UD","East Hertfordshire",,,52084,13437,18724,8513,7937,2649,678,111,35
"G","East of England","26","Hertfordshire","26UE","Hertsmere",,,37869,10317,12764,6238,5706,2204,518,84,38
"G","East of England","26","Hertfordshire","26UF","North Hertfordshire",,,48810,14118,17274,7285,6905,2426,625,121,56
"G","East of England","26","Hertfordshire","26UG","St Albans",,,52659,14421,18544,7994,7910,2870,683,147,90
"G","East of England","26","Hertfordshire","26UH","Stevenage",,,32754,9412,11029,5105,4722,1843,486,109,48
"G","East of England","26","Hertfordshire","26UJ","Three Rivers",,,33439,8972,11499,5394,5024,1937,474,97,42
"G","East of England","26","Hertfordshire","26UK","Watford",,,32350,9594,10485,4955,4666,1870,546,145,89
"G","East of England","26","Hertfordshire","26UL","Welwyn Hatfield",,,39844,11437,13636,6259,5679,2125,551,111,46
"G","East of England","33","Norfolk","33UB","Breckland",,,50715,13814,19638,7325,6858,2271,640,119,50
