DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
AREA_TYPE,Local Authority,,,,,,TO,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000004","East Midlands","E10000007","Derbyshire","E07000032","Amber Valley",,,1214977,97471,143458,974049,26831,3633,26350,5444,48410,20121
"E12000004","East Midlands","E10000007","Derbyshire","E07000033","Bolsover",,,695148,76429,54308,564411,21615,3536,11410,4760,28702,19665
"E12000004","East Midlands","E10000007","Derbyshire","E07000034","Chesterfield",,,1011750,100355,79494,831901,30354,3306,17671,4499,44867,18541
"E12000004","East Midlands","E10000007","Derbyshire","E07000035","Derbyshire Dales",,,691046,55758,109755,525534,14924,3736,17208,6378,23934,21958
"E12000004","East Midlands","E10000007","Derbyshire","E07000036","Erewash",,,1083679,82680,126989,874009,23281,3551,25529,4974,46591,18759
"E12000004","East Midlands","E10000007","Derbyshire","E07000037","High Peak",,,946045,139905,40727,765413,31638,4422,4732,8607,35440,21597
"E12000004","East Midlands","E10000007","Derbyshire","E07000038","North East Derbyshire",,,977573,109797,66801,800975,29623,3706,12620,5293,39025,20525
"E12000004","East Midlands","E10000007","Derbyshire","E07000039","South Derbyshire",,,780431,63766,109776,606889,16358,3898,19768,5553,31607,19201
"E12000004","East Midlands","E10000018","Leicestershire","E07000129","Blaby",,,907508,62675,109468,735365,16504,3798,21171,5171,36058,20394
"E12000004","East Midlands","E10000018","Leicestershire","E07000130","Charnwood",,,1498781,115034,175131,1208615,31045,3705,34141,5130,61332,19706
